Player Name,Team Name,Total runs,Year,Matches Played,Innings,Not Outs,Highest Score,Average,Balls Faced,Strike Rate,0,50,100,4s,6s,Dream 11 Points,Reference,Role
Anuj Rawat,RCB,98,2024,5,5,1,48,24.5,77,127.27,0,0,0,10,3,114,Anuj Rawat,Batsman
R Ashwin,RR,86,2024,15,9,3,29,14.33,74,116.21,1,0,0,5,4,97,R Ashwin,Bowler
Arshad Khan,LSG,83,2024,4,4,2,58*,41.5,54,153.7,1,1,0,6,5,109,Arshad Khan,Bowler
V Shankar,GT,83,2024,7,7,2,17,16.6,72,115.27,0,0,0,7,2,94,V Shankar,Bowler
Harpreet Brar,PBKS,75,2024,13,7,5,29,37.5,54,138.88,0,0,0,8,2,89,Harpreet Brar,Bowler
D Brevis,MI,69,2024,3,3,0,46,23,59,116.94,1,0,0,3,5,80,D Brevis,Bowler
MA Agarwal,SRH,64,2024,4,4,0,32,16,57,112.28,0,0,0,8,1,74,MA Agarwal,Bowler
Rahmanullah Gurbaz,KKR,62,2024,3,2,0,39,31,46,134.78,0,0,0,7,4,79,Rahmanullah Gurbaz,Bowler
A Taide,PBKS,61,2024,2,2,0,46,30.5,39,156.41,0,0,0,7,2,76,A Taide,Bowler
MR Marsh,DC,61,2024,4,4,0,23,15.25,38,160.52,1,0,0,9,3,78,MR Marsh,Bowler
R Shepherd,MI,57,2024,6,5,3,39*,28.5,21,271.42,0,0,0,5,5,78,R Shepherd,Bowler
GJ Maxwell,RCB,52,2024,10,9,0,28,5.77,43,120.93,4,0,0,6,2,54,GJ Maxwell,Bowler
Sameer Rizvi,CSK,51,2024,8,5,1,21,12.75,43,118.6,1,0,0,4,2,57,Sameer Rizvi,Bowler
T Kohler-Cadmore,RR,48,2024,4,3,0,20,16,54,88.88,0,0,0,7,1,57,T Kohler-Cadmore,Bowler
Kuldeep Yadav,DC,47,2024,11,5,2,35*,15.66,41,114.63,1,0,0,6,1,53,Kuldeep Yadav,Bowler
Sikandar Raza,PBKS,43,2024,2,2,0,28,21.5,38,113.15,0,0,0,2,2,49,Sikandar Raza,Bowler
MK Pandey,KKR,42,2024,1,1,0,42,42,31,135.48,0,0,0,2,2,50,MK Pandey,Bowler
N Rana,KKR,42,2024,2,2,0,33,21,34,123.52,0,0,0,5,1,49,N Rana,Bowler
Azmatullah Omarzai,GT,42,2024,7,4,0,17,10.5,33,127.27,0,0,0,2,2,48,Azmatullah Omarzai,Bowler
D Padikkal,LSG,38,2024,7,7,0,13,5.42,53,71.69,2,0,0,3,0,37,D Padikkal,Bowler
Swapnil Singh,RCB,37,2024,7,5,3,15*,18.5,21,176.19,1,0,0,3,3,50,Swapnil Singh,Bowler
Mohammad Nabi,MI,35,2024,7,5,1,23,8.75,31,112.9,1,0,0,2,2,39,Mohammad Nabi,Bowler
SB Dubey,RR,33,2024,4,3,1,25,16.5,19,173.68,1,0,0,3,2,44,SB Dubey,Bowler
KV Sharma,RCB,31,2024,9,3,0,20,10.33,15,206.66,0,0,0,2,3,45,KV Sharma,Bowler
Rasikh Salam,DC,28,2024,8,4,0,10,7,30,93.33,0,0,0,4,0,32,Rasikh Salam,Bowler
KS Williamson,GT,27,2024,2,2,0,26,13.5,27,100,0,0,0,4,0,31,KS Williamson,Bowler
Harpreet Singh,PBKS,27,2024,2,2,0,14,13.5,34,79.41,0,0,0,2,0,29,Harpreet Singh,Bowler
SS Prabhudessai,RCB,24,2024,1,1,0,24,24,18,133.33,0,0,0,3,0,29,SS Prabhudessai,Bowler
TK Kotian,RR,24,2024,1,1,0,24,24,31,77.41,0,0,0,3,0,27,TK Kotian,Bowler
JD Unadkat,SRH,24,2024,11,5,2,8*,8,26,92.3,0,0,0,2,1,28,JD Unadkat,Bowler
B Kumar,SRH,23,2024,16,5,2,13,7.66,29,79.31,1,0,0,3,0,24,B Kumar,Bowler
AJ Turner,LSG,21,2024,2,2,0,16,10.5,18,116.66,0,0,0,0,2,25,AJ Turner,Bowler
RD Chahar,PBKS,21,2024,9,2,1,16,21,15,140,0,0,0,3,1,28,RD Chahar,Bowler
Yudhvir Singh,LSG,21,2024,2,2,0,14,10.5,14,150,0,0,0,1,2,28,Yudhvir Singh,Bowler
SN Thakur,CSK,21,2024,9,3,2,17,21,17,123.52,0,0,0,2,1,25,SN Thakur,Bowler
K Rabada,PBKS,20,2024,11,3,2,11*,20,14,142.85,0,0,0,0,2,26,K Rabada,Bowler
Gulbadin Naib,DC,19,2024,2,1,0,19,19,15,126.66,0,0,0,1,1,22,Gulbadin Naib,Bowler
M Jansen,SRH,18,2024,3,2,1,17,18,13,138.46,0,0,0,1,1,23,M Jansen,Bowler
Sumit Kumar,DC,18,2024,4,3,1,9*,9,24,75,0,0,0,2,1,22,Sumit Kumar,Bowler
SD Chauhan,RCB,18,2024,3,3,0,9,6,15,120,1,0,0,1,1,19,SD Chauhan,Bowler
PP Chawla,MI,15,2024,11,6,2,10,3.75,15,100,2,0,0,1,1,14,PP Chawla,Bowler
MJ Santner,CSK,14,2024,3,3,0,11,4.66,17,82.35,1,0,0,1,0,13,MJ Santner,Bowler
Sanvir Singh,SRH,14,2024,4,3,2,8*,14,12,116.66,1,0,0,1,0,13,Sanvir Singh,Bowler
TA Boult,RR,14,2024,16,5,3,12,7,16,87.5,1,0,0,2,0,14,TA Boult,Bowler
